Product Name,Available Quantity,Color,Size,Size Name,Price,Sale Price,Price Type,Date,Location,ID,Variant ID,SKU
PIMA ANKLE LEGGINGS,457,white,L,Misses,39.00,39.00,full price,2021-08-01,3J006B,801,408638,220991801L
PIMA ANKLE LEGGINGS,321,white,M,Misses,39.00,39.00,full price,2021-08-01,3J006B,801,408639,220991801M
PIMA ANKLE LEGGINGS,259,white,S,Misses,39.00,39.00,full price,2021-08-01,3J006B,801,408640,220991801S
PIMA ANKLE LEGGINGS,139,white,XL,Misses,39.00,39.00,full price,2021-08-01,3J006B,801,408641,220991801XL
PIMA ANKLE LEGGINGS,132,white,XS,Misses,39.00,39.00,full price,2021-08-01,3J006B,801,408642,220991801XS
PIMA ANKLE LEGGINGS,204,white,LP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,801,408658,220992801LP
PIMA ANKLE LEGGINGS,210,white,MP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,801,408659,220992801MP
PIMA ANKLE LEGGINGS,264,white,SP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,801,408660,220992801SP
PIMA ANKLE LEGGINGS,102,white,XLP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,801,408661,220992801XLP
PIMA ANKLE LEGGINGS,161,white,XSP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,801,408662,220992801XSP
PIMA ANKLE LEGGINGS,178,white,LT,Tall,39.00,39.00,full price,2021-08-01,3J006BT,801,408677,220993801LT
PIMA ANKLE LEGGINGS,172,white,MT,Tall,39.00,39.00,full price,2021-08-01,3J006BT,801,408678,220993801MT
PIMA ANKLE LEGGINGS,93,white,ST,Tall,39.00,39.00,full price,2021-08-01,3J006BT,801,408679,220993801ST
PIMA ANKLE LEGGINGS,83,white,XLT,Tall,39.00,39.00,full price,2021-08-01,3J006BT,801,408680,220993801XLT
PIMA ANKLE LEGGINGS,180,white,1X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,801,408693,2209948011X
PIMA ANKLE LEGGINGS,282,white,2X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,801,408694,2209948012X
PIMA ANKLE LEGGINGS,169,white,3X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,801,408695,2209948013X
PIMA ANKLE LEGGINGS,55,white,4X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,801,408696,2209948014X
PIMA ANKLE LEGGINGS,8489,black,L,Misses,39.00,39.00,full price,2021-08-01,3J006B,780,408633,220991780L
PIMA ANKLE LEGGINGS,9418,black,M,Misses,39.00,39.00,full price,2021-08-01,3J006B,780,408634,220991780M
PIMA ANKLE LEGGINGS,5009,black,S,Misses,39.00,39.00,full price,2021-08-01,3J006B,780,408635,220991780S
PIMA ANKLE LEGGINGS,5183,black,XL,Misses,39.00,39.00,full price,2021-08-01,3J006B,780,408636,220991780XL
PIMA ANKLE LEGGINGS,1647,black,XS,Misses,39.00,39.00,full price,2021-08-01,3J006B,780,408637,220991780XS
PIMA ANKLE LEGGINGS,285,dark grey heather,L,Misses,39.00,39.00,full price,2021-08-01,3J006B,ESS,408643,220991ESSL
PIMA ANKLE LEGGINGS,215,dark grey heather,M,Misses,39.00,39.00,full price,2021-08-01,3J006B,ESS,408644,220991ESSM
PIMA ANKLE LEGGINGS,34,dark grey heather,S,Misses,39.00,39.00,full price,2021-08-01,3J006B,ESS,408645,220991ESSS
PIMA ANKLE LEGGINGS,168,dark grey heather,XL,Misses,39.00,39.00,full price,2021-08-01,3J006B,ESS,408646,220991ESSXL
PIMA ANKLE LEGGINGS,112,dark grey heather,XS,Misses,39.00,39.00,full price,2021-08-01,3J006B,ESS,408647,220991ESSXS
PIMA ANKLE LEGGINGS,2224,deep blue,L,Misses,39.00,39.00,full price,2021-08-01,3J006B,FXN,408648,220991FXNL
PIMA ANKLE LEGGINGS,2492,deep blue,M,Misses,39.00,39.00,full price,2021-08-01,3J006B,FXN,408649,220991FXNM
PIMA ANKLE LEGGINGS,1331,deep blue,S,Misses,39.00,39.00,full price,2021-08-01,3J006B,FXN,408650,220991FXNS
PIMA ANKLE LEGGINGS,1324,deep blue,XL,Misses,39.00,39.00,full price,2021-08-01,3J006B,FXN,408651,220991FXNXL
PIMA ANKLE LEGGINGS,477,deep blue,XS,Misses,39.00,39.00,full price,2021-08-01,3J006B,FXN,408652,220991FXNXS
PIMA ANKLE LEGGINGS,3018,black,LP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,780,408653,220992780LP
PIMA ANKLE LEGGINGS,4015,black,MP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,780,408654,220992780MP
PIMA ANKLE LEGGINGS,3134,black,SP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,780,408655,220992780SP
PIMA ANKLE LEGGINGS,1717,black,XLP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,780,408656,220992780XLP
PIMA ANKLE LEGGINGS,1400,black,XSP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,780,408657,220992780XSP
PIMA ANKLE LEGGINGS,10,dark grey heather,LP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,ESS,408663,220992ESSLP
PIMA ANKLE LEGGINGS,0,dark grey heather,MP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,ESS,408664,220992ESSMP
PIMA ANKLE LEGGINGS,14,dark grey heather,SP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,ESS,408665,220992ESSSP
PIMA ANKLE LEGGINGS,39,dark grey heather,XLP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,ESS,408666,220992ESSXLP
PIMA ANKLE LEGGINGS,28,dark grey heather,XSP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,ESS,408667,220992ESSXSP
PIMA ANKLE LEGGINGS,849,deep blue,LP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,FXN,408668,220992FXNLP
PIMA ANKLE LEGGINGS,1013,deep blue,MP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,FXN,408669,220992FXNMP
PIMA ANKLE LEGGINGS,720,deep blue,SP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,FXN,408670,220992FXNSP
PIMA ANKLE LEGGINGS,527,deep blue,XLP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,FXN,408671,220992FXNXLP
PIMA ANKLE LEGGINGS,377,deep blue,XSP,Petite,39.00,39.00,full price,2021-08-01,3J006BP,FXN,408672,220992FXNXSP
PIMA ANKLE LEGGINGS,1860,black,LT,Tall,39.00,39.00,full price,2021-08-01,3J006BT,780,408673,220993780LT
PIMA ANKLE LEGGINGS,1683,black,MT,Tall,39.00,39.00,full price,2021-08-01,3J006BT,780,408674,220993780MT
PIMA ANKLE LEGGINGS,864,black,ST,Tall,39.00,39.00,full price,2021-08-01,3J006BT,780,408675,220993780ST
PIMA ANKLE LEGGINGS,1130,black,XLT,Tall,39.00,39.00,full price,2021-08-01,3J006BT,780,408676,220993780XLT
PIMA ANKLE LEGGINGS,118,dark grey heather,LT,Tall,39.00,39.00,full price,2021-08-01,3J006BT,ESS,408681,220993ESSLT
PIMA ANKLE LEGGINGS,33,dark grey heather,MT,Tall,39.00,39.00,full price,2021-08-01,3J006BT,ESS,408682,220993ESSMT
PIMA ANKLE LEGGINGS,49,dark grey heather,ST,Tall,39.00,39.00,full price,2021-08-01,3J006BT,ESS,408683,220993ESSST
PIMA ANKLE LEGGINGS,6,dark grey heather,XLT,Tall,39.00,39.00,full price,2021-08-01,3J006BT,ESS,408684,220993ESSXLT
PIMA ANKLE LEGGINGS,504,deep blue,LT,Tall,39.00,39.00,full price,2021-08-01,3J006BT,FXN,408685,220993FXNLT
PIMA ANKLE LEGGINGS,456,deep blue,MT,Tall,39.00,39.00,full price,2021-08-01,3J006BT,FXN,408686,220993FXNMT
PIMA ANKLE LEGGINGS,197,deep blue,ST,Tall,39.00,39.00,full price,2021-08-01,3J006BT,FXN,408687,220993FXNST
PIMA ANKLE LEGGINGS,355,deep blue,XLT,Tall,39.00,39.00,full price,2021-08-01,3J006BT,FXN,408688,220993FXNXLT
PIMA ANKLE LEGGINGS,1365,black,1X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,780,408689,2209947801X
PIMA ANKLE LEGGINGS,2637,black,2X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,780,408690,2209947802X
PIMA ANKLE LEGGINGS,1579,black,3X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,780,408691,2209947803X
PIMA ANKLE LEGGINGS,684,black,4X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,780,408692,2209947804X
PIMA ANKLE LEGGINGS,100,dark grey heather,1X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,ESS,408697,220994ESS1X
PIMA ANKLE LEGGINGS,169,dark grey heather,2X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,ESS,408698,220994ESS2X
PIMA ANKLE LEGGINGS,178,dark grey heather,3X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,ESS,408699,220994ESS3X
PIMA ANKLE LEGGINGS,66,dark grey heather,4X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,ESS,408700,220994ESS4X
PIMA ANKLE LEGGINGS,325,deep blue,1X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,FXN,408701,220994FXN1X
PIMA ANKLE LEGGINGS,686,deep blue,2X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,FXN,408702,220994FXN2X
PIMA ANKLE LEGGINGS,361,deep blue,3X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,FXN,408703,220994FXN3X
PIMA ANKLE LEGGINGS,233,deep blue,4X,Womens,45.00,45.00,full price,2021-08-01,3J006BW,FXN,408704,220994FXN4X
PIMA ANKLE LEGGINGS,717,peat moss,L,Misses,39.00,39.00,full price,2021-08-01,3J006B,2KC,412010,2209912KCL
PIMA ANKLE LEGGINGS,693,peat moss,M,Misses,39.00,39.00,full price,2021-08-01,3J006B,2KC,412011,2209912KCM
PIMA ANKLE LEGGINGS,447,peat moss,S,Misses,39.00,39.00,full price,2021-08-01,3J006B,2KC,412012,2209912KCS
